"","Track","Artist","Best_Peak_Position","Max_Number_Weeks","danceability","energy","valence","speechiness","duration_ms","tempo"
"1","Lo Que Yo Se De Ti","Ha*Ash",1,11,0.425,0.459,0.129,0.0283,226067,151.866
"2","Se Te Olvido","Kalimba",1,21,0.781,0.498,0.346,0.0273,269360,113.981
"3","Como Duele","Ricardo Arjona",3,7,0.641,0.334,0.681,0.0333,226979,78.48
"4","En Cambio No","Laura Pausini",2,21,0.536,0.378,0.147,0.0266,237440,133.858
"5","No Me Doy Por Vencido","Luis Fonsi",5,10,0.31,0.663,0.407,0.101,239400,172.768
"6","Mil Demonios","Moderatto",6,5,0.647,0.468,0.262,0.0263,259398,140.037
"7","No Hay Nadie Como Tu","Calle 13 Featuring Cafe Tacuba",5,9,0.573,0.856,0.687,0.199,293320,199.952
"8","Odio Por Amor","Juanes",8,6,0.667,0.737,0.664,0.0339,248533,98.005
"9","Dejame Ir","Paty Cantu",1,15,0.595,0.463,0.16,0.0238,233382,78.014
"10","Te Presumo","Banda El Recodo de Cruz Lizarraga",5,26,0.597,0.469,0.696,0.0293,192973,145.234
"11","Te Amo","Alexander Acha",11,24,0.849,0.724,0.63,0.0665,201122,98.005
"12","Nada Es Igual","Kudai",12,5,0.649,0.58,0.476,0.0241,186827,95.109
"13","El Final De Nuestra Historia","La Arrolladora Banda el Limon de Rene Camacho",11,30,0.725,0.447,0.768,0.0273,208541,97.532
"14","Acostumbrado","Tush",12,11,0.597,0.433,0.27,0.0291,219227,131.895
"15","Espero","Grupo Montez de Durango",15,14,0.741,0.564,0.869,0.0431,171200,90.055
"16","Culpable O Inocente","Jenni Rivera",16,5,0.663,0.471,0.762,0.0349,212902,139.759
"17","El Ultimo Vals","La Oreja de Van Gogh",17,3,0.594,0.801,0.609,0.0257,204733,137.981
"18","Tratare De Olvidarte","Efrain Berry",10,6,0.705,0.625,0.968,0.0347,233040,125.111
"19","Womanizer","Britney Spears",19,7,0.724,0.695,0.235,0.0622,224400,139
"20","En Su Lugar","Yuridia",5,24,0.636,0.36,0.226,0.029,226733,123.281
"21","Que Esto, Que Lo Otro","Pedro Fernandez",21,3,0.864,0.874,0.557,0.17,212573,153.011
"22","Pruebamelo","Gloria Trevi",22,3,0.725,0.835,0.949,0.0285,201747,125.017
"23","La Cama Destendida","La Original Banda el Limon de Salvador Lizarraga",22,10,0.627,0.634,0.612,0.0413,216120,158.03
"24","El Ultimo Beso","Vicente Fernandez",20,11,0.563,0.293,0.63,0.0331,172560,102.961
"25","Tarde O Temprano","Tommy Torres",10,10,0.519,0.525,0.603,0.0452,214373,190.082
"26","Dame Tu Amor","Alacranes Musical",26,7,0.817,0.806,0.858,0.0776,164213,119.205
"27","No Molestar","Marco Antonio Solis",27,3,0.744,0.59,0.541,0.0266,264533,100.866
"28","Estigma De Amor","Kany Garcia",28,2,0.612,0.405,0.291,0.0357,233013,143.94
"29","Ojala","Pesado",17,4,0.526,0.235,0.377,0.0991,212482,91.24
"30","Inolvidable","Reik",30,1,0.686,0.672,0.85,0.0372,257573,97.006
"31","Almas Gemelas","El Trono de Mexico",23,12,0.793,0.745,0.716,0.0571,235411,94.979
"32","Reptilectric","Zoe",32,2,0.488,0.891,0.32,0.0358,232288,134.562
"33","Cinco Minutos","Gloria Trevi",33,4,0.716,0.945,0.853,0.0527,207800,131.973
"34","Luz De Luna","Los Temerarios",27,8,0.569,0.534,0.595,0.0283,174720,107.635
"35","Paso El Tiempo","Belanova",31,5,0.531,0.769,0.361,0.0948,207080,138.947
"36","Vuelvo","Beto Cuevas",36,2,0.69,0.658,0.745,0.037,327001,159.301
"37","Llevame En Tu Viaje","Intocable",37,3,0.799,0.556,0.892,0.0331,259627,130.993
"38","Amor De Hecho","Luis Miguel",12,8,0.374,0.632,0.325,0.0325,263453,77.779
"39","Sin Ti","Pignoise",39,7,0.778,0.69,0.958,0.0284,189243,140.102
"40","Llena De Color","Jorge Gevara",40,1,0.705,0.387,0.828,0.0671,238151,150.05
"41","Hot N Cold","Katy Perry",16,17,0.706,0.841,0.861,0.0418,220227,132.032
"42","A Mi Edad","Tiziano Ferro",35,3,0.547,0.732,0.388,0.0413,213080,141.87
"43","Alquimista","Jaguares",24,9,0.694,0.661,0.692,0.474,214286,117.518
"44","Las Luces De La Ciudad","Division Minuscula",29,7,0.57,0.867,0.608,0.326,257427,74.828
"45","Nada Es Normal (Nada Normal)","Victor & Leo",45,1,0.367,0.207,0.562,0.0325,192667,95.456
"46","Maldito Licor","El Chapo de Sinaloa",46,2,0.707,0.405,0.961,0.105,176093,84.904
"47","P.D. Te Amo","Ana Victoria",47,1,0.602,0.691,0.276,0.0334,315297,103.74
"48","Y Tu No Estas","Elefante",48,1,0.534,0.502,0.296,0.0303,255240,139.963
"49","Por Una Mujer Casada","Pepe Aguilar",49,1,0.585,0.471,0.969,0.0439,129560,137.779
"50","Queda Tan Poco De Ti","Mazizo Musical",50,1,NA,NA,NA,NA,NA,NA
"51","Fui","Reik",3,16,0.591,0.672,0.267,0.0375,265307,139.939
"52","Que Te Queria","La Quinta Estacion",1,29,0.512,0.888,0.525,0.0922,229520,143.005
"53","La Canalla","Vicente Fernandez, Jr.",40,4,0.81,0.573,0.936,0.204,183093,179.306
"54","So What","P!nk",46,1,0.657,0.883,0.461,0.0733,281521,129.943
"55","Shut Up And Let Me Go","The Ting Tings",47,1,0.852,0.927,0.887,0.0581,171227,107.993
"56","Pobre Loco","Duelo",30,5,0.734,0.632,0.953,0.0387,159973,151.803
"57","Fuego En Tu Piel","Los Primos de Durango",12,22,0.651,0.819,0.862,0.049,179320,160.027
"58","Aqui Estoy Yo","Luis Fonsi",3,32,0.429,0.551,0.384,0.0313,251520,149.76
"59","Ya Lo Veia Venir","Moderatto",3,22,0.492,0.76,0.642,0.0312,224225,166.018
"60","Human","The Killers",42,2,0.557,0.8,0.582,0.0601,245373,135.47
"61","Lovebug","Jonas Brothers",44,1,0.597,0.5,0.522,0.0579,220693,79.071
"62","Hasta Quemarnos","Kinky",45,3,0.782,0.874,0.959,0.0352,202920,99.935
"63","Ahora Va La Mia","Los Invasores de Nuevo Leon",37,5,0.728,0.533,0.918,0.0578,178187,149.979
"64","Las Curvas De Esa Chica","Nikki Clan",20,11,0.656,0.834,0.816,0.166,193800,164.192
"65","El Mechon","Banda MS",48,2,0.788,0.715,0.905,0.0919,139187,79.991
"66","Cuando Tus Ojos Me Miran","Franco de Vita",6,11,0.35,0.757,0.544,0.123,295733,169.28
"67","Quiero Ser","Amaia Montero",4,14,0.81,0.38,0.722,0.0626,198480,86.013
"68","El Favor De La Soledad","Gloria Trevi",1,22,0.415,0.734,0.713,0.0346,235267,209.774
"69","Eres Veneno","Skapulario",36,1,0.519,0.933,0.657,0.0446,197227,149.954
"70","Get On Your Boots","U2",37,1,0.557,0.746,0.601,0.0337,205147,149.035
"71","Hablame","Beto Cuevas",23,13,0.633,0.306,0.408,0.0389,192639,144.709
"72","5 Letras","La Incontenible Banda Astilleros",38,9,0.82,0.788,0.648,0.191,195573,93.961
"73","Mi Primera Vez","Conjunto Primavera",37,8,0.711,0.763,0.602,0.362,354717,89.919
"74","Nada","Zoe",5,25,0.612,0.801,0.536,0.0267,260439,132.996
"75","Jueves","La Oreja de Van Gogh",1,26,0.614,0.56,0.538,0.0378,287929,155.293
"76","Recuerdos De Amor","Victor & Leo",9,13,0.584,0.38,0.297,0.039,227373,151.709
"77","Besos Faciles","Sonohra",15,12,0.601,0.796,0.495,0.0494,228147,131.926
"78","Me Arrepiento","Alex Ubago",20,13,0.528,0.657,0.382,0.0312,233000,83.97
"79","Dejalo","Leon Polar",36,3,0.471,0.315,0.47,0.0388,216665,126.303
